Agency Name,Agent Name,Birth Date,Age,First,Last,Combined Names, COST 18-19 , PC 18-19 , COST 19-20 , PC 19-20 , COST 20-21 , PC 20-21 , COST 21-22 , PC 21-22 , COST 22-23 , PC 22-23 , COST 23-24 , PC 23-24 , Dollars Captured Above/ Below Value ,Value Capture %, Total Cost , Total PC 
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,06/05/1989,35,Cameron,Atkinson,Cam Atkinson," $7,375,000 "," $8,707,061 "," $7,375,000 "," $3,909,079 "," $5,275,000 "," $3,448,990 "," $5,275,000 "," $5,607,546 "," $5,275,000 ", $-   ," $5,275,000 "," $1,840,044 "," $12,337,280 ",152%," $35,850,000 "," $23,512,720 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,06/19/1997,27,Lucas,Condotta,Lucas Condotta, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $148,780 "," $315,614 "," $(166,834)",47%," $148,780 "," $315,614 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,12/08/1995,29,Thatcher,Demko,Thatcher Demko, $-   , $-   ," $900,000 "," $6,210,127 "," $1,200,000 "," $5,093,693 "," $2,500,000 "," $8,573,718 "," $4,500,000 "," $2,459,618 "," $7,000,000 "," $10,865,988 "," $(17,103,144)",48%," $16,100,000 "," $33,203,144 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,08/13/1991,33,Casey,DeSmith,Casey DeSmith," $310,671 "," $5,170,005 "," $1,000,000 "," $216,475 "," $1,250,000 "," $2,371,560 "," $1,500,000 "," $3,264,182 "," $1,700,000 "," $2,015,372 "," $1,900,000 "," $2,064,873 "," $(7,441,796)",51%," $7,660,671 "," $15,102,467 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,04/19/2001,23,Spencer,Knight,Spencer Knight, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $4,500,000 "," $424,674 "," $4,075,326 ",1060%," $4,500,000 "," $424,674 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,02/16/1995,29,Andrew,Oglevie,Andrew Oglevie, $-   , $-   , $-   , $-   ," $100,000 "," $54,720 "," $200,000 ", $-   , $-   , $-   , $-   , $-   ," $245,280 ",548%," $300,000 "," $54,720 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,01/21/1986,39,Jonathan,Quick,Jonathan Quick," $7,000,000 "," $723,900 "," $7,000,000 "," $1,778,054 "," $3,500,000 "," $2,315,360 "," $3,000,000 "," $5,835,639 "," $2,500,000 "," $1,199,868 "," $825,000 "," $4,214,007 "," $7,758,172 ",148%," $23,825,000 "," $16,066,828 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,05/28/1995,29,Brogan,Rafferty,Brogan Rafferty, $-   , $-   ," $125,000 "," $368,200 "," $700,000 "," $17,959 "," $750,000 "," $169,200 "," $275,000 "," $561,530 "," $400,000 "," $285,668 "," $847,443 ",160%," $2,250,000 "," $1,402,557 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,05/07/1990,34,Chad,Ruhwedel,Chad Ruhwedel," $650,000 "," $185,800 "," $700,000 "," $1,053,679 "," $700,000 "," $225,025 "," $750,000 "," $2,897,456 "," $800,000 "," $701,518 "," $800,000 "," $802,134 "," $(1,465,612)",75%," $4,400,000 "," $5,865,612 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,03/07/1995,29,Steven,Santini,Steven Santini, $-   , $-   , $-   , $-   ," $300,000 "," $283,944 "," $300,000 "," $336,308 "," $320,000 "," $264,381 "," $275,000 "," $194,596 "," $115,771 ",111%," $1,195,000 "," $1,079,229 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,01/29/1989,36,Kevin,Shattenkirk,Kevin Shattenkirk," $8,000,000 "," $3,172,130 "," $1,750,000 "," $8,627,613 "," $2,500,000 "," $1,523,504 "," $4,250,000 "," $5,036,445 "," $4,950,000 "," $2,001,105 "," $1,050,000 "," $3,467,446 "," $(1,328,243)",94%," $22,500,000 "," $23,828,243 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,04/20/2001,23,Marshall,Warren,Marshall Warren,      ," $3,440 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $(3,440)",0%, $-   ," $3,440 "
"Edge Sports Management, LLC",Jordan Neumann & George Bazos,08/14/1992,32,Scott,Wedgewood,Scott Wedgewood," $486,585 "," $348,476 "," $425,610 "," $21,440 "," $395,122 "," $500,784 "," $550,610 "," $2,307,264 "," $1,000,000 "," $2,162,487 "," $1,000,000 "," $724,544 "," $(2,207,068)",64%," $3,857,927 "," $6,064,995 "
CAL Sports Management Inc.,Joseph Caligiuri,01/01/1996,29,Jayce,Hawryluk,Jayce Hawryluk, $-   , $-   ," $70,000 "," $840,956 "," $200,000 "," $206,268 ", $-   , $-   ," $170,000 "," $134,310 ", $-   , $-   ," $(741,534)",37%," $440,000 "," $1,181,534 "
CAL Sports Management Inc.,Joseph Caligiuri,02/24/1999,25,Jiri,Patera,Jiri Patera, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $149,390 "," $271,053 "," $(121,663)",55%," $149,390 "," $271,053 "
Top Shelf Sports Management Inc.,Joseph Resnick,05/13/1996,28,Michael,Amadio,Michael Amadio, $-   , $-   ," $639,634 "," $1,251,763 "," $700,000 "," $296,110 "," $711,585 "," $2,201,777 "," $750,000 "," $5,796,278 "," $775,000 "," $4,000,897 "," $(9,970,605)",26%," $3,576,220 "," $13,546,825 "
Top Shelf Sports Management Inc.,Joseph Resnick,04/01/1996,28,Warren,Foegele,Warren Foegele, $-   , $-   , $-   , $-   ," $2,150,000 "," $2,442,850 "," $2,100,000 "," $1,777,759 "," $2,900,000 "," $3,137,714 "," $3,250,000 "," $3,652,194 "," $(610,517)",94%," $10,400,000 "," $11,010,517 "
Top Shelf Sports Management Inc.,Joseph Resnick,06/15/1993,31,Boone,Jenner,Boone Jenner," $4,000,000 "," $5,010,262 "," $4,000,000 "," $2,228,851 "," $3,500,000 "," $1,892,671 "," $3,500,000 "," $4,828,647 "," $3,750,000 "," $3,032,093 "," $3,750,000 "," $3,370,340 "," $2,137,136 ",110%," $22,500,000 "," $20,362,864 "
Top Shelf Sports Management Inc.,Joseph Resnick,05/31/1996,28,Jared,McCann,Jared McCann," $1,250,000 "," $4,297,657 "," $1,250,000 "," $4,136,704 "," $2,500,000 "," $5,074,974 "," $3,380,000 "," $3,602,074 "," $5,000,000 "," $10,311,944 "," $6,000,000 "," $5,485,894 "," $(13,529,247)",59%," $19,380,000 "," $32,909,247 "
Top Shelf Sports Management Inc.,Joseph Resnick,02/03/1998,27,Michael,McLeod,Michael McLeod, $-   , $-   , $-   , $-   , $-   , $-   ," $950,000 "," $775,101 "," $1,000,000 "," $4,072,877 "," $1,400,000 "," $3,252,883 "," $(4,750,861)",41%," $3,350,000 "," $8,100,861 "
Top Shelf Sports Management Inc.,Joseph Resnick,09/21/1999,25,Ryan,McLeod,Ryan McLeod, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $798,000 "," $2,860,220 "," $2,100,000 "," $4,350,092 "," $(4,312,312)",40%," $2,898,000 "," $7,210,312 "
Top Shelf Sports Management Inc.,Joseph Resnick,01/02/1996,29,Jacob,Middleton,Jacob Middleton, $-   , $-   , $-   , $-   ," $225,000 "," $5,034 "," $225,000 "," $3,280,812 "," $2,800,000 "," $2,939,053 "," $2,500,000 "," $2,640,847 "," $(3,115,746)",65%," $5,750,000 "," $8,865,746 "
Top Shelf Sports Management Inc.,Joseph Resnick,02/10/1998,26,Keaton,Middleton,Keaton Middleton, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $100,000 "," $131,820 "," $250,000 "," $96,800 "," $121,380 ",153%," $350,000 "," $228,620 "
Top Shelf Sports Management Inc.,Joseph Resnick,02/21/1989,35,Jake,Muzzin,Jake Muzzin," $4,450,000 "," $6,486,525 "," $4,450,000 "," $3,950,896 "," $8,000,000 "," $5,709,877 "," $6,500,000 "," $2,747,487 "," $4,000,000 "," $145,777 "," $4,000,000 ", $-   ," $12,359,438 ",165%," $31,400,000 "," $19,040,562 "
Top Shelf Sports Management Inc.,Joseph Resnick,08/10/1992,32,Tanner,Pearson,Tanner Pearson," $3,800,000 "," $2,575,855 "," $3,850,000 "," $4,375,211 "," $3,850,000 "," $1,352,217 "," $2,500,000 "," $3,866,547 "," $3,000,000 "," $(318,957)"," $4,250,000 "," $512,383 "," $8,886,744 ",172%," $21,250,000 "," $12,363,256 "
Top Shelf Sports Management Inc.,Joseph Resnick,07/01/1994,30,Chris,Tierney,Chris Tierney," $2,900,000 "," $3,107,962 "," $2,975,000 "," $3,792,929 "," $2,800,000 "," $1,118,645 "," $4,200,000 "," $1,060,546 "," $640,244 "," $636,246 "," $637,805 "," $1,060,522 "," $3,376,199 ",131%," $14,153,049 "," $10,776,850 "
"Wasserman Media Group, LLC",Judd Moldaver,06/09/1998,26,Jake,Bean,Jake Bean, $-   , $-   , $-   , $-   , $-   , $-   ," $1,900,000 "," $3,000,143 "," $2,200,000 "," $484,352 "," $2,900,000 "," $1,786,343 "," $1,729,162 ",133%," $7,000,000 "," $5,270,838 "
"Wasserman Media Group, LLC",Judd Moldaver,07/30/1999,25,Shane,Bowers,Shane Bowers, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $163,415 "," $191,485 "," $188,415 "," $262,012 "," $(101,668)",78%," $351,829 "," $453,497 "
"Wasserman Media Group, LLC",Judd Moldaver,06/05/1998,26,Kale,Clague,Kale Clague, $-   , $-   , $-   , $-   , $-   , $-   ," $95,290 "," $694,908 "," $316,463 "," $38,866 "," $485,976 "," $130,822 "," $33,133 ",104%," $897,729 "," $864,596 "
"Wasserman Media Group, LLC",Judd Moldaver,03/02/1995,29,Max,Domi,Max Domi," $3,150,000 "," $7,166,901 "," $3,150,000 "," $4,213,187 "," $4,600,000 "," $309,685 "," $6,000,000 "," $4,654,485 "," $3,000,000 "," $2,991,988 "," $3,000,000 "," $2,867,393 "," $696,361 ",103%," $22,900,000 "," $22,203,639 "
"Wasserman Media Group, LLC",Judd Moldaver,08/10/1989,35,Sam,Gagner,Sam Gagner," $3,500,000 "," $1,262,983 "," $3,200,000 "," $954,815 "," $850,000 "," $993,458 "," $850,000 "," $1,267,003 "," $750,000 "," $1,462,198 "," $429,268 "," $1,135,860 "," $2,502,951 ",135%," $9,579,268 "," $7,076,317 "
"Wasserman Media Group, LLC",Judd Moldaver,03/11/1996,28,Conor,Garland,Conor Garland, $-   , $-   ," $750,000 "," $5,365,108 "," $800,000 "," $3,830,693 "," $3,750,000 "," $6,054,568 "," $4,000,000 "," $4,062,631 "," $6,000,000 "," $6,797,694 "," $(10,810,694)",59%," $15,300,000 "," $26,110,694 "
"Wasserman Media Group, LLC",Judd Moldaver,07/20/1998,26,Morgan,Geekie,Morgan Geekie, $-   , $-   , $-   , $-   , $-   , $-   ," $700,610 "," $1,335,411 "," $1,400,000 "," $3,358,785 "," $2,000,000 "," $5,504,343 "," $(6,097,929)",40%," $4,100,610 "," $10,198,539 "
"Wasserman Media Group, LLC",Judd Moldaver,08/13/1998,26,Carter,Hart,Carter Hart, $-   , $-   , $-   , $-   , $-   , $-   ," $3,479,000 "," $2,197,557 "," $3,979,000 "," $4,338,058 "," $4,479,000 "," $1,990,612 "," $3,410,773 ",140%," $11,937,000 "," $8,526,227 "
"Wasserman Media Group, LLC",Judd Moldaver,06/01/1990,34,Roman,Josi,Roman Josi," $5,250,000 "," $7,435,203 "," $4,000,000 "," $9,240,326 "," $11,750,000 "," $4,578,481 "," $10,750,000 "," $12,082,234 "," $9,750,000 "," $7,919,853 "," $9,000,000 "," $12,098,060 "," $(2,854,157)",95%," $50,500,000 "," $53,354,157 "
"Wasserman Media Group, LLC",Judd Moldaver,02/23/1994,30,Stefan,Matteau,Stefan Matteau," $110,000 "," $407,655 "," $125,000 "," $516,855 "," $150,000 "," $(143,476)"," $225,000 "," $107,150 ", $-   , $-   , $-   , $-   ," $(278,184)",69%," $610,000 "," $888,184 "
"Wasserman Media Group, LLC",Judd Moldaver,09/17/1997,27,Auston,Matthews,Auston Matthews, $-   , $-   ," $15,900,000 "," $11,790,311 "," $15,900,000 "," $10,525,418 "," $10,470,000 "," $15,064,767 "," $7,950,000 "," $13,899,392 "," $7,975,000 "," $16,034,490 "," $(9,119,378)",86%," $58,195,000 "," $67,314,378 "
"Wasserman Media Group, LLC",Judd Moldaver,01/13/1997,28,Connor,McDavid,Connor McDavid," $15,000,000 "," $12,328,708 "," $15,000,000 "," $11,206,609 "," $14,000,000 "," $12,509,769 "," $13,000,000 "," $19,330,459 "," $12,000,000 "," $22,059,178 "," $11,000,000 "," $20,578,377 "," $(18,013,100)",82%," $80,000,000 "," $98,013,100 "
"Wasserman Media Group, LLC",Judd Moldaver,01/20/1996,29,Roland,McKeown,Roland McKeown, $-   , $-   ," $70,000 "," $171,320 "," $100,000 ", $-   ," $200,000 "," $256,180 "," $275,000 "," $246,763 "," $300,000 "," $247,203 "," $23,534 ",103%," $945,000 "," $921,466 "
"Wasserman Media Group, LLC",Judd Moldaver,11/15/1994,30,Brett,Pesce,Brett Pesce," $4,025,000 "," $8,157,508 "," $4,025,000 "," $2,991,988 "," $4,025,000 "," $5,432,880 "," $4,025,000 "," $4,296,546 "," $4,025,000 "," $5,619,227 "," $4,025,000 "," $3,005,362 "," $(5,353,511)",82%," $24,150,000 "," $29,503,511 "
"Wasserman Media Group, LLC",Judd Moldaver,07/24/1991,33,Riemsdyk,Van,Riemsdyk van," $8,000,000 "," $4,913,828 "," $8,000,000 "," $5,529,078 "," $7,000,000 "," $4,553,426 "," $700,000 "," $2,893,886 "," $5,000,000 "," $2,637,732 "," $1,000,000 "," $1,958,808 "," $7,213,242 ",132%," $29,700,000 "," $22,486,758 "
"Wasserman Media Group, LLC",Judd Moldaver,07/19/1997,27,Zachary,Werenski,Zach Werenski, $-   , $-   ," $4,000,000 "," $7,313,712 "," $4,000,000 "," $2,301,981 "," $7,000,000 "," $5,615,313 "," $1,000,000 "," $977,430 "," $12,000,000 "," $6,286,814 "," $5,504,750 ",124%," $28,000,000 "," $22,495,250 "
"Wasserman Media Group, LLC",Judd Moldaver,01/14/1994,31,Connor,Brown,Connor Brown," $2,100,000 "," $3,522,265 "," $2,100,000 "," $3,015,728 "," $2,800,000 "," $4,304,627 "," $4,000,000 "," $2,871,780 "," $4,000,000 "," $(196,103)"," $775,000 "," $2,271,635 "," $(14,932)",100%," $15,775,000 "," $15,789,932 "
Achieve Sports Management,Justin Duberman,05/25/1994,30,Matthew,Benning,Matt Benning," $1,800,000 "," $2,571,253 "," $2,000,000 "," $2,175,915 "," $1,000,000 "," $268,630 "," $1,000,000 "," $727,110 "," $1,250,000 "," $3,054,171 "," $1,250,000 "," $250,810 "," $(747,889)",92%," $8,300,000 "," $9,047,889 "
Achieve Sports Management,Justin Duberman,08/05/1996,28,Anders,Bjork A,Anders Bjork A, $-   , $-   , $-   , $-   ," $1,400,000 "," $719,617 "," $1,600,000 "," $510,809 "," $1,800,000 "," $995,646 ", $-   , $-   ," $2,573,928 ",216%," $4,800,000 "," $2,226,072 "
Achieve Sports Management,Justin Duberman,06/20/1994,30,Drake,Caggiula,Drake Caggiula," $1,500,000 "," $2,388,975 "," $1,500,000 "," $1,608,609 "," $700,000 "," $347,772 "," $750,000 "," $299,895 "," $400,000 "," $455,506 "," $500,000 "," $307,400 "," $(58,157)",99%," $5,350,000 "," $5,408,157 "
Achieve Sports Management,Justin Duberman,01/20/1993,32,Sean,Kuraly,Sean Kuraly," $1,300,000 "," $3,013,822 "," $1,475,000 "," $1,202,143 "," $1,050,000 "," $187,955 "," $1,500,000 "," $573,096 "," $2,750,000 "," $(829,992)"," $3,250,000 "," $506,218 "," $6,671,758 ",243%," $11,325,000 "," $4,653,242 "
Achieve Sports Management,Justin Duberman,03/31/1998,26,Taylor,Ward,Taylor Ward, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $95,000 "," $427,923 "," $(332,923)",22%," $95,000 "," $427,923 "
Gold Star Hockey,Keith McKittrick,11/16/1999,25,Paul,Cotter,Paul Cotter, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $727,439 "," $1,221,751 "," $(494,312)",60%," $727,439 "," $1,221,751 "
"Titan Sports Management, Inc.",Kevin Epp,02/09/1995,29,Andre,Burakovsky,Andre Burakovsky," $3,250,000 "," $2,945,964 "," $3,250,000 "," $8,344,513 "," $4,400,000 "," $5,689,377 "," $5,400,000 "," $8,351,885 "," $6,250,000 "," $3,499,482 "," $6,250,000 "," $803,243 "," $(834,464)",97%," $28,800,000 "," $29,634,464 "
"Titan Sports Management, Inc.",Kevin Epp,06/13/2001,23,Bowen,Byram,Bowen Byram, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $3,080,000 "," $3,197,515 "," $(117,515)",96%," $3,080,000 "," $3,197,515 "
"Titan Sports Management, Inc.",Kevin Epp,02/23/1990,34,Kevin,Connauton,Kevin Connauton," $1,250,000 "," $1,404,892 "," $1,500,000 "," $129,313 "," $125,000 "," $318,112 "," $325,000 "," $947,207 "," $450,000 "," $119,200 "," $450,000 "," $164,506 "," $1,016,770 ",133%," $4,100,000 "," $3,083,230 "
"Titan Sports Management, Inc.",Kevin Epp,07/17/1991,33,Oliver,Ekman-Larsson,Oliver Ekman-Larsson," $7,000,000 "," $4,622,861 "," $8,000,000 "," $4,526,766 "," $8,000,000 "," $1,913,879 "," $10,500,000 "," $3,884,770 "," $10,500,000 "," $1,393,041 "," $2,250,000 "," $4,757,879 "," $25,150,804 ",219%," $46,250,000 "," $21,099,196 "
"Titan Sports Management, Inc.",Kevin Epp,08/16/1990,34,Travis,Hamonic,Travis Hamonic," $4,875,000 "," $5,216,899 "," $4,875,000 "," $1,823,792 "," $1,250,000 "," $668,435 "," $2,750,000 "," $2,279,661 "," $3,250,000 "," $2,166,932 "," $1,100,000 "," $338,361 "," $5,605,920 ",145%," $18,100,000 "," $12,494,080 "
"Titan Sports Management, Inc.",Kevin Epp,11/21/1994,30,Andreas,Johnsson,Andreas Johnsson," $70,000 "," $6,016,992 "," $5,000,000 "," $2,423,058 "," $3,600,000 "," $1,250,581 "," $2,500,000 "," $3,898,895 "," $2,500,000 "," $203,605 "," $800,000 ", $-   ," $676,869 ",105%," $14,470,000 "," $13,793,131 "
"Titan Sports Management, Inc.",Kevin Epp,03/15/2000,24,Rasmus,Kupari,Rasmus Kupari, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $900,000 "," $(196,534)"," $1,096,534 ",-458%," $900,000 "," $(196,534)"
"Titan Sports Management, Inc.",Kevin Epp,04/29/1997,27,Jacob,Larsson,Jacob Larsson, $-   , $-   , $-   , $-   ," $1,100,000 "," $938,192 "," $1,300,000 "," $127,383 "," $300,000 "," $29,532 "," $325,000 "," $203,385 "," $1,726,508 ",233%," $3,025,000 "," $1,298,492 "
"Titan Sports Management, Inc.",Kevin Epp,08/15/1996,28,Oskar,Lindblom,Oskar Lindblom, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $2,500,000 "," $506,695 "," $2,500,000 "," $94,346 "," $4,398,959 ",832%," $5,000,000 "," $601,041 "
"Titan Sports Management, Inc.",Kevin Epp,08/31/1998,26,Jacob,Moverare,Jacob Moverare, $-   , $-   , $-   , $-   , $-   , $-   ," $269,024 "," $910,667 "," $449,390 "," $217,438 "," $775,000 "," $480,348 "," $(115,038)",93%," $1,493,415 "," $1,608,453 "
"Titan Sports Management, Inc.",Kevin Epp,05/12/1989,35,Antti,Raanta,Antti Raanta," $3,750,000 "," $677,184 "," $5,000,000 "," $6,104,775 "," $4,000,000 "," $740,148 "," $1,750,000 "," $5,744,516 "," $2,250,000 "," $4,748,823 "," $1,500,000 "," $14,423 "," $220,131 ",101%," $18,250,000 "," $18,029,869 "
"Titan Sports Management, Inc.",Kevin Epp,01/20/1987,38,Ryan,Reaves,Ryan Reaves," $2,775,000 "," $650,442 "," $2,775,000 "," $1,136,856 "," $1,375,000 "," $(219,101)"," $2,125,000 "," $(132,149)"," $1,750,000 "," $189,689 "," $1,350,000 "," $(783,533)"," $11,307,796 ",1443%," $12,150,000 "," $842,204 "
"Titan Sports Management, Inc.",Kevin Epp,11/03/1998,26,Mason,Shaw,Mason Shaw, $-   , $-   , $-   , $-   , $-   , $-   ," $258,537 "," $225,437 "," $277,439 "," $237,768 "," $491,463 "," $(371,443)"," $935,677 ",1120%," $1,027,439 "," $91,762 "
"Titan Sports Management, Inc.",Kevin Epp,08/24/1997,27,Parker,Wotherspoon,Parker Wotherspoon, $-   , $-   , $-   , $-   ," $400,000 "," $7,120 "," $437,500 "," $101,630 "," $462,500 "," $690,476 "," $612,500 "," $1,811,481 "," $(698,207)",73%," $1,912,500 "," $2,610,707 "
"Titan Sports Management, Inc.",Kevin Epp,03/12/1993,31,Tyler,Wotherspoon,Tyler Wotherspoon," $325,000 "," $170,560 "," $70,000 "," $184,640 "," $70,000 "," $42,800 ", $-   , $-   ," $300,000 "," $211,870 "," $325,000 "," $171,560 "," $308,570 ",139%," $1,090,000 "," $781,430 "
"Titan Sports Management, Inc.",Kevin Epp,04/19/1995,29,Juuse,Saros,Juuse Saros," $1,500,000 "," $4,603,457 "," $1,500,000 "," $6,206,361 "," $1,500,000 "," $10,070,539 "," $4,000,000 "," $11,541,957 "," $5,000,000 "," $12,557,561 "," $6,000,000 "," $5,147,288 "," $(30,627,163)",39%," $19,500,000 "," $50,127,163 "
"KO Sports, Inc.",Kevin Magnuson,03/06/1985,39,Pierre-Edouard,Bellemare,Pierre-Edouard Bellemare," $1,450,000 "," $1,676,227 "," $2,150,000 "," $2,446,231 "," $1,450,000 "," $2,164,768 "," $750,000 "," $3,597,405 "," $1,250,000 "," $948,485 "," $775,000 "," $1,314,298 "," $(4,322,414)",64%," $7,825,000 "," $12,147,414 "
"KO Sports, Inc.",Kevin Magnuson,09/05/1989,35,Craig,Smith,Craig Smith," $4,500,000 "," $5,565,073 "," $4,750,000 "," $4,590,772 "," $2,000,000 "," $5,243,698 "," $3,000,000 "," $3,515,047 "," $4,300,000 "," $1,813,658 "," $1,000,000 "," $1,791,662 "," $(2,969,910)",87%," $19,550,000 "," $22,519,910 "
"KO Sports, Inc.",Kevin Magnuson,02/21/1989,35,Ian,Cole,Ian Cole," $5,000,000 "," $1,816,067 "," $4,750,000 "," $5,189,762 "," $3,000,000 "," $3,012,805 "," $2,900,000 "," $2,967,278 "," $3,000,000 "," $3,147,090 "," $3,000,000 "," $3,025,169 "," $2,491,829 ",113%," $21,650,000 "," $19,158,171 "
"KO Sports, Inc.",Kevin Magnuson,02/02/1996,29,Christian,Dvorak,Christian Dvorak, $-   , $-   ," $3,250,000 "," $6,242,390 "," $3,450,000 "," $3,225,937 "," $5,075,000 "," $3,105,938 "," $3,450,000 "," $2,567,242 "," $5,725,000 "," $827,231 "," $4,981,262 ",131%," $20,950,000 "," $15,968,738 "
"KO Sports, Inc.",Kurt Overhardt,04/08/1993,31,Viktor,Arvidsson,Viktor Arvidsson," $4,250,000 "," $6,755,726 "," $4,250,000 "," $3,523,458 "," $4,250,000 "," $3,129,437 "," $4,250,000 "," $4,423,855 "," $4,250,000 "," $6,622,099 "," $4,250,000 "," $1,883,994 "," $(838,569)",97%," $25,500,000 "," $26,338,569 "
"KO Sports, Inc.",Kurt Overhardt,01/09/1992,33,Jack,Campbell,Jack Campbell," $180,488 "," $6,167,683 "," $700,000 "," $1,369,721 "," $1,500,000 "," $7,569,157 "," $1,800,000 "," $7,488,677 "," $5,500,000 "," $2,731,169 "," $6,000,000 "," $240,725 "," $(9,886,644)",61%," $15,680,488 "," $25,567,132 "
"KO Sports, Inc.",Kurt Overhardt,07/08/1994,30,Andrew,Copp,Andrew Copp," $1,100,000 "," $4,704,196 "," $2,260,000 "," $2,898,906 "," $2,300,000 "," $4,040,124 "," $3,640,000 "," $8,111,948 "," $5,500,000 "," $3,200,596 "," $6,250,000 "," $2,900,670 "," $(4,806,440)",81%," $21,050,000 "," $25,856,440 "
"KO Sports, Inc.",Kurt Overhardt,03/20/2000,24,Riley,Damiani,Riley Damiani, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $117,500 "," $219,775 "," $(102,275)",53%," $117,500 "," $219,775 "
"KO Sports, Inc.",Kurt Overhardt,05/24/1990,34,Mattias,Ekholm,Mattias Ekholm," $4,000,000 "," $6,391,322 "," $4,000,000 "," $4,186,454 "," $3,000,000 "," $4,934,874 "," $5,000,000 "," $4,562,266 "," $5,500,000 "," $7,203,380 "," $6,500,000 "," $12,123,176 "," $(11,401,472)",71%," $28,000,000 "," $39,401,472 "
"KO Sports, Inc.",Kurt Overhardt,09/09/1996,28,Michael,Eyssimont,Michael Eyssimont, $-   , $-   , $-   , $-   ," $692,500 "," $133,080 "," $742,683 "," $413,231 "," $742,988 "," $713,823 "," $800,000 "," $901,447 "," $816,590 ",138%," $2,978,171 "," $2,161,581 "
"KO Sports, Inc.",Kurt Overhardt,12/02/1991,33,Jesper,Fast,Jesper Fast," $1,850,000 "," $1,727,955 "," $1,950,000 "," $4,003,086 "," $1,000,000 "," $2,396,826 "," $2,000,000 "," $5,765,776 "," $3,000,000 "," $5,505,081 "," $2,400,000 "," $2,035,167 "," $(9,233,891)",57%," $12,200,000 "," $21,433,891 "
"KO Sports, Inc.",Kurt Overhardt,12/13/1998,26,Callan,Foote,Cal Foote, $-   , $-   , $-   , $-   , $-   , $-   ," $750,000 "," $2,001,325 "," $950,000 "," $479,325 "," $350,000 "," $162,971 "," $(593,621)",78%," $2,050,000 "," $2,643,621 "
"KO Sports, Inc.",Kurt Overhardt,08/26/1996,28,Dylan,Gambrell,Dylan Gambrell, $-   , $-   ," $70,000 "," $577,015 "," $700,000 "," $222,223 "," $1,100,000 "," $379,782 "," $950,000 "," $127,039 "," $775,000 "," $355,295 "," $1,933,646 ",216%," $3,595,000 "," $1,661,354 "
"KO Sports, Inc.",Kurt Overhardt,07/14/1993,31,John,Gibson,John Gibson," $3,300,000 "," $9,871,714 "," $6,400,000 "," $1,851,079 "," $6,400,000 "," $1,936,127 "," $6,400,000 "," $5,093,626 "," $6,400,000 "," $1,564,661 "," $6,400,000 "," $871,531 "," $14,111,262 ",167%," $35,300,000 "," $21,188,738 "
"KO Sports, Inc.",Kurt Overhardt,06/07/1998,26,Filip,Gustavsson,Filip Gustavsson, $-   , $-   , $-   , $-   , $-   , $-   ," $467,988 "," $552,514 "," $825,000 "," $12,077,355 "," $4,250,000 "," $3,589,332 "," $(10,676,213)",34%," $5,542,988 "," $16,219,201 "
"KO Sports, Inc.",Kurt Overhardt,05/23/1997,27,Jansen,Harkins,Jansen Harkins, $-   , $-   , $-   , $-   ," $700,000 "," $58,501 "," $750,000 "," $1,033,834 "," $825,000 "," $1,266,224 "," $875,000 "," $111,103 "," $680,338 ",128%," $3,150,000 "," $2,469,662 "
"KO Sports, Inc.",Kurt Overhardt,04/04/1991,33,Magnus,Hellberg,Magnus Hellberg, $-   , $-   , $-   , $-   , $-   , $-   ," $800,000 "," $123,343 "," $750,000 "," $974,388 "," $785,000 "," $270,580 "," $966,689 ",171%," $2,335,000 "," $1,368,311 "
"KO Sports, Inc.",Kurt Overhardt,11/16/1997,27,Lucas,Johansen,Lucas Johansen, $-   , $-   , $-   , $-   ," $139,268 "," $18,640 "," $142,927 "," $510,907 "," $170,732 "," $193,639 "," $775,000 "," $365,764 "," $138,977 ",113%," $1,227,927 "," $1,088,950 "
